Country_Year,game_location,game_season,game_year
paris-2024,France,Summer,2024
beijing-2022,China,Winter,2022
tokyo-2020,Japan,Summer,2020
pyeongchang-2018,Republic of Korea,Winter,2018
rio-2016,Brazil,Summer,2016
sochi-2014,Russian Federation,Winter,2014
london-2012,Great Britain,Summer,2012
vancouver-2010,Canada,Winter,2010
beijing-2008,China,Summer,2008
turin-2006,Italy,Winter,2006
athens-2004,Greece,Summer,2004
salt-lake-city-2002,United States,Winter,2002
sydney-2000,Australia,Summer,2000
nagano-1998,Japan,Winter,1998
atlanta-1996,United States,Summer,1996
lillehammer-1994,Norway,Winter,1994
barcelona-1992,Spain,Summer,1992
albertville-1992,France,Winter,1992
seoul-1988,Republic of Korea,Summer,1988
calgary-1988,Canada,Winter,1988
los-angeles-1984,United States,Summer,1984
sarajevo-1984,Yugoslavia,Winter,1984
moscow-1980,USSR,Summer,1980
lake-placid-1980,United States,Winter,1980
montreal-1976,Canada,Summer,1976
innsbruck-1976,Austria,Winter,1976
munich-1972,Federal Republic of Germany,Summer,1972
sapporo-1972,Japan,Winter,1972
mexico-city-1968,Mexico,Summer,1968
grenoble-1968,France,Winter,1968
tokyo-1964,Japan,Summer,1964
innsbruck-1964,Austria,Winter,1964
rome-1960,Italy,Summer,1960
squaw-valley-1960,United States,Winter,1960
melbourne-1956,"Australia, Sweden",Summer,1956
cortina-d-ampezzo-1956,Italy,Winter,1956
helsinki-1952,Finland,Summer,1952
oslo-1952,Norway,Winter,1952
london-1948,Great Britain,Summer,1948
st-moritz-1948,Switzerland,Winter,1948
berlin-1936,Germany,Summer,1936
garmisch-partenkirchen-1936,Germany,Winter,1936
los-angeles-1932,United States,Summer,1932
lake-placid-1932,United States,Winter,1932
amsterdam-1928,Netherlands,Summer,1928
st-moritz-1928,Switzerland,Winter,1928
paris-1924,France,Summer,1924
chamonix-1924,France,Winter,1924
antwerp-1920,Belgium,Summer,1920
stockholm-1912,Sweden,Summer,1912
london-1908,Great Britain,Summer,1908
st-louis-1904,United States,Summer,1904
paris-1900,France,Summer,1900
athens-1896,Greece,Summer,1896