discipline_title,event_title,slug_game,medal_type,value_unit
Swimming,Men's 4 x 200m Freestyle Relay,Paris-2024,GOLD,
Swimming,Men's 4 x 200m Freestyle Relay,Paris-2024,SILVER,
Swimming,Men's 4 x 200m Freestyle Relay,Paris-2024,BRONZE,
Swimming,Men's 4 x 100m Freestyle Relay,Paris-2024,GOLD,
Swimming,Men's 4 x 100m Freestyle Relay,Paris-2024,SILVER,
Swimming,Men's 4 x 100m Freestyle Relay,Paris-2024,BRONZE,
Swimming,Women's 4 x 100m Freestyle Relay,Paris-2024,GOLD,
Swimming,Women's 4 x 100m Freestyle Relay,Paris-2024,SILVER,
Swimming,Women's 4 x 100m Freestyle Relay,Paris-2024,BRONZE,
Swimming,Women's 4 x 200m Freestyle Relay,Paris-2024,GOLD,
Swimming,Women's 4 x 200m Freestyle Relay,Paris-2024,SILVER,
Swimming,Women's 4 x 200m Freestyle Relay,Paris-2024,BRONZE,
Athletics,Women's 4 x 100m Relay,Paris-2024,GOLD,
Athletics,Women's 4 x 100m Relay,Paris-2024,SILVER,
Athletics,Women's 4 x 100m Relay,Paris-2024,BRONZE,
Athletics,Women's 4 x 400m Relay,Paris-2024,GOLD,
Athletics,Women's 4 x 400m Relay,Paris-2024,SILVER,
Athletics,Women's 4 x 400m Relay,Paris-2024,BRONZE,
Athletics,Men's 4 x 100m Relay,Paris-2024,GOLD,
Athletics,Men's 4 x 100m Relay,Paris-2024,SILVER,
Athletics,Men's 4 x 100m Relay,Paris-2024,BRONZE,
Athletics,Men's 4 x 400m Relay,Paris-2024,GOLD,
Athletics,Men's 4 x 400m Relay,Paris-2024,SILVER,
Athletics,Men's 4 x 400m Relay,Paris-2024,BRONZE,
Athletics,Women's 4 x 100m Relay,tokyo-2020,GOLD,42015
Athletics,Women's 4 x 100m Relay,tokyo-2020,SILVER,41090
Athletics,Women's 4 x 100m Relay,tokyo-2020,BRONZE,41055
Athletics,Women's 4 x 100m Relay,tokyo-2020,BRONZE,42005
Athletics,Women's 4 x 100m Relay,tokyo-2020,BRONZE,42000
Athletics,Women's 4 x 100m Relay,tokyo-2020,BRONZE,42082
Athletics,Women's 4 x 100m Relay,tokyo-2020,BRONZE,42068
Athletics,Women's 4 x 100m Relay,tokyo-2020,BRONZE,42081
Athletics,Women's 4 x 400m Relay,tokyo-2020,GOLD,3:20.86
Athletics,Women's 4 x 400m Relay,tokyo-2020,SILVER,3:23.10
Athletics,Women's 4 x 400m Relay,tokyo-2020,BRONZE,3:21.95
Athletics,Women's 4 x 400m Relay,tokyo-2020,BRONZE,3:24.05
Athletics,Women's 4 x 400m Relay,tokyo-2020,BRONZE,3:23.99
Athletics,Women's 4 x 400m Relay,tokyo-2020,BRONZE,3:24.01
Athletics,Women's 4 x 400m Relay,tokyo-2020,BRONZE,3:24.08
Athletics,Women's 4 x 400m Relay,tokyo-2020,BRONZE,3:24.04
Athletics,Men's 4 x 100m Relay,tokyo-2020,GOLD,37095
Athletics,Men's 4 x 100m Relay,tokyo-2020,SILVER,38002
Athletics,Men's 4 x 100m Relay,tokyo-2020,BRONZE,37092
Athletics,Men's 4 x 100m Relay,tokyo-2020,BRONZE,37092
Athletics,Men's 4 x 100m Relay,tokyo-2020,BRONZE,37082
Athletics,Men's 4 x 100m Relay,tokyo-2020,BRONZE,38006
Athletics,Men's 4 x 100m Relay,tokyo-2020,BRONZE,38016
Athletics,Men's 4 x 100m Relay,tokyo-2020,BRONZE,38008
Athletics,Men's 4 x 400m Relay,tokyo-2020,GOLD,2:57.77
Athletics,Men's 4 x 400m Relay,tokyo-2020,SILVER,2:59.06
Athletics,Men's 4 x 400m Relay,tokyo-2020,BRONZE,2:58.33
Athletics,Men's 4 x 400m Relay,tokyo-2020,BRONZE,2:59.37
Athletics,Men's 4 x 400m Relay,tokyo-2020,BRONZE,2:58.55
Athletics,Men's 4 x 400m Relay,tokyo-2020,BRONZE,2:59.29
Athletics,Men's 4 x 400m Relay,tokyo-2020,BRONZE,2:58.91
Athletics,Men's 4 x 400m Relay,tokyo-2020,BRONZE,2:58.60
Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,GOLD,7:03.25
Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,SILVER,7:05.16
Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,7:05.00
Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,7:05.62
Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,7:05.05
Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,7:06.59
Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,7:06.76
Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,7:07.73
Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,GOLD,3:31.73
Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,SILVER,3:33.72
Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,3:34.80
Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,3:33.51
Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,3:34.03
Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,3:35.93
Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,3:35.07
Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,3:35.56
Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,GOLD,3:11.33
Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,SILVER,3:10.29
Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,3:11.89
Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,3:13.00
Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,3:12.73
Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,3:12.35
Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,3:13.13
Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,3:12.59
Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,GOLD,7:48.98
Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,SILVER,7:47.57
Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,7:44.61
Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,7:51.52
Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,7:52.04
Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,7:52.06
Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,7:56.16
Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,7:55.05
Athletics,Women's 4 x 400m Relay,rio-2016,GOLD,199060
Athletics,Women's 4 x 400m Relay,rio-2016,SILVER,200340
Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,205880
Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,206430
Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,207050
Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,207280
Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,207450
Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,207450
Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,207450
Athletics,Men's 4 x 400m Relay,rio-2016,GOLD,177300
Athletics,Men's 4 x 400m Relay,rio-2016,SILVER,178160
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,178490
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,178520
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,179060
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,179530
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,180500
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,183280
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,183280
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,183280
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,183280
Athletics,Women's 4 x 100m Relay,rio-2016,GOLD,41010
Athletics,Women's 4 x 100m Relay,rio-2016,SILVER,41360
Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,41770
Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,42100
Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,42120
Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,43150
Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,43210
Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,43210
Athletics,Men's 4 x 100m Relay,rio-2016,GOLD,37270
Athletics,Men's 4 x 100m Relay,rio-2016,SILVER,37600
Athletics,Men's 4 x 100m Relay,rio-2016,BRONZE,37640
Athletics,Men's 4 x 100m Relay,rio-2016,BRONZE,37900
Athletics,Men's 4 x 100m Relay,rio-2016,BRONZE,37980
Athletics,Men's 4 x 100m Relay,rio-2016,BRONZE,38410
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,GOLD,420660
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,SILVER,423130
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,423500
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,424180
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,425700
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,427280
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,429100
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,431640
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,431640
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,431640
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,431640
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,431640
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,431640
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,431640
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,431640
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,431640
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,GOLD,463030
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,SILVER,464870
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,465390
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,467960
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,470260
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,471030
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,473260
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,476760
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,476760
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,476760
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,476760
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,476760
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,476760
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,476760
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,476760
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,476760
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,GOLD,210650
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,SILVER,211890
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,212890
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,213810
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,215900
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,216780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,217450
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,217780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,217780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,217780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,217780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,217780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,217780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,217780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,217780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,217780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,GOLD,189920
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,SILVER,190530
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,191370
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,191640
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,193210
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,193570
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,194350
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,194480
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,194480
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,194480
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,194480
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,194480
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,194480
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,194480
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,194480
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,GOLD,189930
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,SILVER,190380
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,191410
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,191630
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,193450
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,193520
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,194130
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,194400
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,194400
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,194400
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,194400
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,194400
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,194400
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,194400
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,194400
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,GOLD,462920
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,SILVER,464410
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,467490
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,470650
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,472370
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,473110
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,476300
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,476730
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,476730
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,476730
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,476730
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,476730
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,476730
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,476730
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,476730
Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,476730
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,GOLD,419700
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,SILVER,422770
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,426300
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,426590
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,427000
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,429330
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,429650
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,433660
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,433660
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,433660
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,433660
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,433660
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,433660
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,433660
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,433660
Swimming,Men's 4 x 200m Freestyle Relay,london-2012,BRONZE,433660
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,GOLD,213150
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,SILVER,213790
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,214240
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,216750
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,217020
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,217450
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,217960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,217960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,217960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,217960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,217960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,217960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,217960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,217960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,217960
Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,217960
Athletics,Women's 4 x 100m Relay,london-2012,GOLD,40820
Athletics,Women's 4 x 100m Relay,london-2012,SILVER,41410
Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,42040
Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,42640
Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,42670
Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,42700
Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,42910
Athletics,Women's 4 x 100m Relay,london-2012,BRONZE,42910
Athletics,Men's 4 x 400m Relay,london-2012,GOLD,176720
Athletics,Men's 4 x 400m Relay,london-2012,SILVER,177050
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,179400
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,179530
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,181830
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,182180
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,183460
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,183460
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,183460
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,183460
Athletics,Men's 4 x 400m Relay,london-2012,BRONZE,183460
Athletics,Men's 4 x 100m Relay,london-2012,GOLD,36840
Athletics,Men's 4 x 100m Relay,london-2012,SILVER,38120
Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,38160
Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,38350
Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,38390
Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,38430
Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,38430
Athletics,Men's 4 x 100m Relay,london-2012,BRONZE,38430
Athletics,Women's 4 x 400m Relay,london-2012,GOLD,196870
Athletics,Women's 4 x 400m Relay,london-2012,SILVER,200950
Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,203570
Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,204760
Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,205920
Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,207770
Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,207770
Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,207770
Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,207770
Athletics,Women's 4 x 400m Relay,london-2012,BRONZE,207770
Athletics,Women's 4 x 100m Relay,beijing-2008,GOLD,42540
Athletics,Women's 4 x 100m Relay,beijing-2008,SILVER,43040
Athletics,Women's 4 x 100m Relay,beijing-2008,BRONZE,43140
Athletics,Women's 4 x 100m Relay,beijing-2008,BRONZE,43280
Athletics,Women's 4 x 100m Relay,beijing-2008,BRONZE,43280
Athletics,Women's 4 x 400m Relay,beijing-2008,GOLD,198540
Athletics,Women's 4 x 400m Relay,beijing-2008,SILVER,200400
Athletics,Women's 4 x 400m Relay,beijing-2008,BRONZE,202680
Athletics,Women's 4 x 400m Relay,beijing-2008,BRONZE,203210
Athletics,Women's 4 x 400m Relay,beijing-2008,BRONZE,203740
Athletics,Women's 4 x 400m Relay,beijing-2008,BRONZE,208450
Athletics,Women's 4 x 400m Relay,beijing-2008,BRONZE,208450
Athletics,Women's 4 x 400m Relay,beijing-2008,BRONZE,208450
Athletics,Men's 4 x 100m Relay,beijing-2008,GOLD,38060
Athletics,Men's 4 x 100m Relay,beijing-2008,SILVER,38150
Athletics,Men's 4 x 100m Relay,beijing-2008,BRONZE,38240
Athletics,Men's 4 x 100m Relay,beijing-2008,BRONZE,38580
Athletics,Men's 4 x 100m Relay,beijing-2008,BRONZE,38660
